date,year,year_month,era,category,category_disruption_score,import_dependency_pct
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Clothing,60.64,91.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Machinery & Industrial,14.61,78.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Energy & Fuels,23.73,71.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Food & Drink,27.58,82.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Clothing,19.69,91.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Machinery & Industrial,14.61,78.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Energy & Fuels,23.73,71.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Food & Drink,68.84,82.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Clothing,63.22,91.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Machinery & Industrial,17.85,78.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Energy & Fuels,24.71,71.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Food & Drink,31.94,82.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Clothing,22.27,91.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Machinery & Industrial,17.85,78.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-04-01,2021,2021-04,Post-Brexit / Recovery,Energy & Fuels,24.71,71.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Food & Drink,30.51,82.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Clothing,18.55,91.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Machinery & Industrial,6.6,78.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Energy & Fuels,25.62,71.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Food & Drink,67.41,82.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Clothing,59.5,91.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Machinery & Industrial,6.6,78.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-05-01,2021,2021-05,Post-Brexit / Recovery,Energy & Fuels,25.62,71.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Food & Drink,29.67,82.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Clothing,19.32,91.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Machinery & Industrial,6.6,78.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Energy & Fuels,25.41,71.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Food & Drink,66.57,82.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Clothing,60.27,91.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Machinery & Industrial,6.6,78.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-06-01,2021,2021-06,Post-Brexit / Recovery,Energy & Fuels,25.41,71.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Food & Drink,29.67,82.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Clothing,30.68,91.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Machinery & Industrial,13.75,78.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Energy & Fuels,27.16,71.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Food & Drink,66.57,82.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Clothing,71.63,91.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Machinery & Industrial,13.75,78.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-07-01,2021,2021-07,Post-Brexit / Recovery,Energy & Fuels,27.16,71.0
2021-08-01,2021,2021-08,Post-Brexit / Recovery,Food & Drink,67.89,82.0
2021-08-01,2021,2021-08,Post-Brexit / Recovery,Clothing,75.15,91.0
2021-08-01,2021,2021-08,Post-Brexit / Recovery,Machinery & Industrial,18.55,78.0
2021-08-01,2021,2021-08,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-08-01,2021,2021-08,Post-Brexit / Recovery,Energy & Fuels,27.62,71.0
2021-08-01,2021,2021-08,Post-Brexit / Recovery,Food & Drink,30.99,82.0
